id,lon,lat,value,category
site_000,118.85698302262419,32.01309449755092,33.46,low
site_001,118.73144974407867,32.009253207790756,62.66,medium
site_002,118.76207712056237,31.923287629691806,78.9,high
site_003,118.79869415251375,31.95296059450089,73.58,high
site_004,118.77591335321101,31.904908521922447,78.0,high
site_005,118.7222810147633,31.967333213275626,60.88,medium
site_006,118.87977083203332,31.974173194933396,44.78,low
site_007,118.76481482870365,31.925203268684083,82.59,high
site_008,118.76244221135005,31.974627553702323,67.09,high
site_009,118.81258466703387,31.94763340135918,63.95,high
site_010,118.76251346203357,31.981251986741192,64.73,high
site_011,118.7721790040097,32.0304473769832,63.87,high
site_012,118.80810869517703,32.008283312208015,57.06,medium
site_013,118.81084070511685,31.98266839598255,54.72,medium
site_014,118.74059957899978,31.979634770110522,63.15,high
site_015,118.80356724814159,31.978222156805742,65.21,high
site_016,118.87257796046669,32.01767391235752,42.96,low
site_017,118.80369328474866,32.00812114967866,56.18,medium
site_018,118.84702579886218,32.02806333110233,45.36,low
site_019,118.86200823232548,31.998111283690022,39.09,low
site_020,118.82641687044443,32.001874551921944,51.0,low
site_021,118.70737680309065,32.03441673326722,48.53,low
site_022,118.71386599253138,31.98205439037841,55.85,medium
site_023,118.75565727096668,31.934659468219778,77.48,high
site_024,118.70051526881188,32.031528428517454,52.92,low
site_025,118.86024949167988,32.00083086775694,26.23,low
site_026,118.76665276765168,32.00200220237733,67.25,high
site_027,118.84405462999229,31.903880145840876,59.74,medium
site_028,118.82194057881382,31.957228232363114,59.38,medium
site_029,118.85869652770516,31.948773199252837,44.64,low
site_030,118.707360354117,32.03348527087317,41.9,low
site_031,118.87920908773862,31.952215699535778,44.15,low
site_032,118.75406838966997,32.03688108664025,56.4,medium
site_033,118.86231148614783,31.979256251632744,36.82,low
site_034,118.8223457078402,31.943912212576805,58.84,medium
site_035,118.81945729927119,32.01255731828593,50.0,low
site_036,118.71181514292562,31.973818447346883,56.98,medium
site_037,118.83600568003473,31.987488252287687,48.0,low
site_038,118.75346063108405,31.997277908052013,63.08,high
site_039,118.81972729663903,31.995919826280986,50.62,low
site_040,118.73447870699127,31.968155455212447,58.23,medium
site_041,118.87289388178314,31.927165011248615,50.89,low
site_042,118.71080106724247,31.928549048042214,64.01,high
site_043,118.77638947594599,32.01823969973137,50.62,low
site_044,118.86672238862519,31.995194082591514,35.79,low
site_045,118.71931331896047,31.91574500124172,67.87,high
site_046,118.79411456453101,32.037609451205675,60.03,medium
site_047,118.74645903125148,31.911911327184196,85.36,high
site_048,118.77851140038563,31.911737105083173,82.09,high
site_049,118.77580081722152,32.00889734012581,57.54,medium
site_050,118.75239456047169,31.904238575505733,80.48,high
site_051,118.77597079154542,32.034307771085146,65.74,high
site_052,118.85930837025299,31.93690543629474,49.58,low
site_053,118.77273489550045,32.00660325225866,59.92,medium
site_054,118.71549868280238,31.904737026959616,68.57,high
site_055,118.84720782283755,31.973932022195843,45.09,low
site_056,118.85501144487205,31.937915601795417,58.08,medium
site_057,118.70430024506314,31.931314595106535,61.73,medium
site_058,118.84082080200278,31.921343926335453,59.85,medium
site_059,118.86190833065572,31.966428389778333,27.78,low
site_060,118.81149205547446,31.98616839911615,53.77,low
site_061,118.86780013169798,32.01644509394232,27.06,low
site_062,118.7028048257319,31.910013787290303,61.98,medium
site_063,118.80818585173904,31.97578485818608,63.91,high
site_064,118.75129276677028,32.01169613948935,59.03,medium
site_065,118.71783316000516,31.952163534006953,65.5,high
site_066,118.8295652670303,31.921585640685006,57.35,medium
site_067,118.76304366877669,31.961153163765395,66.62,high
site_068,118.85936686680387,31.96012541980098,37.35,low
site_069,118.83165227711585,31.95203235175383,56.8,medium
site_070,118.80743919495649,31.958900548305138,58.55,medium
site_071,118.84476872239227,31.913034981639168,61.52,medium
site_072,118.8515048490495,31.948465078771523,49.43,low
site_073,118.80613590774425,32.035792953391685,57.23,medium
site_074,118.74504066286048,32.0224379573787,71.72,high
site_075,118.77609269760858,31.968429459762962,68.42,high
site_076,118.74739173467427,31.935166048068332,68.42,high
site_077,118.86686298496521,32.01538875451869,39.03,low
site_078,118.71035692581883,31.96785557227002,60.06,medium
site_079,118.80925602429069,31.98933635184643,60.48,medium
site_080,118.75236641319624,31.989586814326966,57.83,medium
site_081,118.83618447560124,32.0104811559633,46.39,low
site_082,118.75806326857358,31.915881453239873,74.76,high
site_083,118.7653504063866,32.029439924198776,65.84,high
site_084,118.83343383855934,32.007746312479775,36.83,low
site_085,118.86281019369773,31.961678751670675,45.3,low
site_086,118.85760993855229,32.02345646665626,39.69,low
site_087,118.85984556783134,32.0263814909433,40.88,low
site_088,118.86631761357796,31.9368395650838,58.03,medium
site_089,118.7760423822395,31.91188784087156,82.65,high
site_090,118.78388029402102,31.93365186988833,77.5,high
site_091,118.81367889375218,32.005571360329704,55.9,medium
site_092,118.75255547580848,32.03769296214335,69.25,high
site_093,118.8373083399061,31.943948902211183,60.3,medium
site_094,118.83381063099135,31.934847678015775,62.61,medium
site_095,118.78981288568987,31.901266148269745,75.47,high
site_096,118.7102958784146,31.998883845939368,49.79,low
site_097,118.76452159779014,31.9833774244165,59.63,medium
site_098,118.8107463115754,31.959507553752115,63.92,high
site_099,118.77530289861504,31.96442046162077,73.04,high
