id,lon,lat,value,category
site_000,118.73476939706934,31.966275870877045,67.03,high
site_001,118.75782675456253,32.02785016636631,54.08,low
site_002,118.80382987223439,31.959520917080283,56.72,medium
site_003,118.70462282894677,31.983092969953955,56.08,medium
site_004,118.8350474274882,31.961964284968825,50.07,low
site_005,118.73624740016503,32.006462838229545,62.75,medium
site_006,118.81788925191391,31.91552004973561,76.39,high
site_007,118.73435825849812,32.02536247851872,54.04,low
site_008,118.72181083098535,32.022511782682265,58.15,medium
site_009,118.79903121655485,31.98091337061106,59.25,medium
site_010,118.7243610115198,31.932895188647173,64.86,high
site_011,118.79628456863296,31.944609967810976,70.46,high
site_012,118.84327707841454,32.021911140436956,46.1,low
site_013,118.70037729948103,31.97614739155053,53.22,low
site_014,118.83751560252718,31.99936751529435,41.4,low
site_015,118.7797587226313,32.008046555381654,60.45,medium
site_016,118.75744406685428,31.954137651023707,71.57,high
site_017,118.76274593652721,31.902028699205605,76.67,high
site_018,118.83461093713622,31.93012384603436,61.56,medium
site_019,118.85024203541437,32.023266810509895,36.3,low
site_020,118.83917283019657,32.034837746376276,43.19,low
site_021,118.86606333229395,32.03961370942426,41.81,low
site_022,118.74535651669308,31.925908138898375,81.62,high
site_023,118.84349499099544,31.946960546275786,61.05,medium
site_024,118.72626085043213,32.039621189463226,54.59,medium
site_025,118.7087477879234,31.98829218501025,50.97,low
site_026,118.77409956337121,32.007335825191376,67.02,high
site_027,118.73812225344047,31.91237374516228,77.48,high
site_028,118.72971021441468,31.910052018953568,76.39,high
site_029,118.87879952734222,31.93693374039734,53.26,low
site_030,118.78423613963614,31.92253168021292,77.54,high
site_031,118.81058984140593,31.932469486400432,76.4,high
site_032,118.83263308665532,31.9153488540515,63.88,medium
site_033,118.76973906035984,31.991225831586554,68.41,high
site_034,118.8193463638354,31.95018875177359,67.44,high
site_035,118.73405628960833,31.932957676714015,68.09,high
site_036,118.72114064676909,31.905293371130785,73.29,high
site_037,118.71071396088311,32.01394083361942,54.01,low
site_038,118.72308122831863,31.928740794586748,71.64,high
site_039,118.86682154844387,31.914545434613288,48.41,low
site_040,118.79129974559122,31.952047941924228,67.66,high
site_041,118.76921816833776,32.00517723277111,61.46,medium
site_042,118.83343923728063,32.00807772347738,45.27,low
site_043,118.82674543046402,31.9323223119118,56.56,medium
site_044,118.72454948160721,32.030580235134785,60.55,medium
site_045,118.83098991043555,32.009656729704325,46.76,low
site_046,118.7852482002382,31.986059413335145,54.69,medium
site_047,118.84629195931639,31.986596951548066,46.89,low
site_048,118.87262451827924,31.91242154604866,45.81,low
site_049,118.78759654104807,32.02128125739312,49.51,low
site_050,118.78135360919453,31.901855393485448,75.29,high
site_051,118.80864398507876,31.92313861065978,63.56,medium
site_052,118.81740327724569,31.95024193043866,56.18,medium
site_053,118.75240486689665,32.01050975313504,51.3,low
site_054,118.76562182686077,32.025171854766064,60.5,medium
site_055,118.73659656912831,32.004635477121624,58.68,medium
site_056,118.76522089895566,32.01680072106557,58.73,medium
site_057,118.83421358857403,31.980271269367545,54.41,medium
site_058,118.84109979473538,31.974600218416647,46.39,low
site_059,118.80820058026961,31.954615381682775,57.9,medium
site_060,118.81810526839453,31.905872364010456,69.22,high
site_061,118.85730168106474,31.91524743892032,54.11,medium
site_062,118.73297131453262,32.03168559462391,53.4,low
site_063,118.70543923745862,31.933060304735804,58.43,medium
site_064,118.74831497106854,32.02621948317301,54.72,medium
site_065,118.87630262309735,32.01636239762957,34.7,low
site_066,118.80611937501678,31.93286140773634,72.09,high
site_067,118.73818320243537,31.936804896252927,69.22,high
site_068,118.86359604196346,31.918021725942165,62.51,medium
site_069,118.70876703828276,31.912031204973907,64.29,high
site_070,118.82770015022544,31.911328693157525,55.08,medium
site_071,118.76802167582353,31.940092559712433,73.34,high
site_072,118.70186173260767,31.984781731290663,40.61,low
site_073,118.71667836108182,32.01305108129022,55.34,medium
site_074,118.78163933378544,31.957204938555233,71.08,high
site_075,118.77533704068327,31.973360582715294,65.63,high
site_076,118.86950825302362,32.01057118614662,26.49,low
site_077,118.70386888213545,32.01536935085301,50.65,low
site_078,118.7777067470763,31.920975210780153,77.05,high
site_079,118.74868175937281,31.975978149020648,63.93,medium
site_080,118.84708330929598,31.980697131532754,44.34,low
site_081,118.86973271175711,31.919906543272823,52.55,low
site_082,118.87086117551361,31.907239004527593,51.0,low
site_083,118.81988261094624,32.02536961990431,45.07,low
site_084,118.83062363535007,31.91630700715416,73.19,high
site_085,118.83684514753169,31.984378178176794,51.69,low
site_086,118.84470511620009,31.96150502682482,45.16,low
site_087,118.82278456630864,31.993732130506974,47.47,low
site_088,118.8319678016464,32.02807390906413,47.41,low
site_089,118.75350219098367,31.94173631363688,73.86,high
site_090,118.84788867238845,31.920493653301257,58.77,medium
site_091,118.82065204952539,31.91365227695509,62.56,medium
site_092,118.74473853878487,31.90556788615672,77.02,high
site_093,118.73148001199776,31.98937885493339,64.11,high
site_094,118.7215271074389,31.925964873162126,76.14,high
site_095,118.7976326371021,31.90561557663263,65.87,high
site_096,118.73814234427977,31.938123482038954,70.53,high
site_097,118.79933154552,31.97377280143361,58.95,medium
site_098,118.72877402275876,31.99725893392676,59.38,medium
site_099,118.78565803866366,32.03304800965515,63.48,medium
