x,y,z,class
5.76,45.755,2.467,ground
95.79,65.131,6.126,ground
56.533,91.754,15.92,canopy
20.342,73.806,4.145,ground
45.908,51.515,19.129,canopy
56.362,82.806,15.514,canopy
18.455,87.963,4.223,ground
13.521,42.721,3.618,ground
40.698,23.328,14.035,canopy
43.314,15.337,3.654,ground
38.509,79.622,16.672,canopy
95.131,72.956,6.324,ground
99.775,17.866,5.044,ground
26.79,22.236,3.133,ground
69.366,29.157,15.7,canopy
60.656,17.933,4.665,ground
16.551,24.936,13.054,canopy
31.195,35.678,15.45,canopy
18.697,55.241,3.802,ground
65.814,47.104,19.014,canopy
59.824,3.474,4.123,ground
33.522,81.824,4.745,ground
92.88,33.831,5.59,ground
58.05,91.469,16.223,canopy
14.351,50.072,2.88,ground
25.075,62.071,13.849,canopy
30.788,75.344,4.715,ground
29.524,79.331,4.383,ground
90.542,51.76,5.317,ground
42.976,7.021,13.815,canopy
22.653,39.939,3.763,ground
69.567,55.4,19.453,canopy
95.647,1.997,5.304,ground
47.363,70.681,14.977,canopy
13.986,95.625,4.124,ground
3.566,63.011,14.647,canopy
51.526,97.603,5.241,ground
68.258,74.789,16.466,canopy
81.681,11.279,4.75,ground
62.006,99.985,5.68,ground
60.363,91.361,5.772,ground
46.013,97.639,5.486,ground
18.342,2.84,2.132,ground
10.552,14.488,2.288,ground
27.051,43.232,14.393,canopy
90.741,92.895,6.604,ground
37.813,91.803,5.134,ground
70.107,96.1,6.066,ground
27.326,32.052,3.19,ground
17.467,48.204,3.631,ground
6.796,65.641,13.711,canopy
93.283,9.5,4.674,ground
45.59,66.908,20.271,canopy
8.505,38.161,3.221,ground
76.815,55.082,18.693,canopy
78.495,17.693,4.98,ground
59.608,44.168,20.154,canopy
98.038,28.149,5.228,ground
77.297,83.885,6.541,ground
94.346,27.135,5.721,ground
56.582,47.514,18.429,canopy
56.3,32.633,16.427,canopy
71.95,6.799,15.101,canopy
97.682,33.688,5.913,ground
65.599,91.351,5.699,ground
40.342,38.726,16.197,canopy
52.193,27.698,17.142,canopy
96.997,92.104,6.725,ground
