u,v,minutes
N0_0,N0_1,2.6441418181787673
N0_0,N1_0,4.913151245819361
N0_1,N0_2,6.439938864780764
N0_1,N1_1,3.579618473219812
N0_2,N0_3,6.437715547312241
N0_2,N1_2,2.81713145901701
N0_3,N0_4,2.6780910105419564
N0_3,N1_3,6.019922403804433
N0_4,N0_5,2.533037412082288
N0_4,N1_4,5.697417367225778
N0_5,N0_6,6.423676401573325
N0_5,N1_5,4.900011615920169
N0_6,N1_6,5.819541272906728
N1_0,N1_1,2.8025897328130065
N1_0,N2_0,6.002013909249291
N1_1,N1_2,2.8798746795604675
N1_1,N2_1,6.298251394189645
N1_2,N1_3,5.7108425855431175
N1_2,N2_2,4.09548151753043
N1_3,N1_4,4.080811156532693
N1_3,N2_3,3.929974075785335
N1_4,N1_5,3.8242499360464035
N1_4,N2_4,6.492200876400002
N1_5,N1_6,3.4122620371255152
N1_5,N2_5,4.782121289485156
N1_6,N2_6,6.228831630078856
N2_0,N2_1,4.466479974399436
N2_0,N3_0,3.2574232576067215
N2_1,N2_2,5.102980649301754
N2_1,N3_1,5.815005571342279
N2_2,N2_3,4.529334384286912
N2_2,N3_2,5.428772439837562
N2_3,N2_4,6.469336656130784
N2_3,N3_3,6.020487903393285
N2_4,N2_5,4.183558647238865
N2_4,N3_4,3.0864403787007366
N2_5,N2_6,3.603123099592654
N2_5,N3_5,3.582099366750636
N2_6,N3_6,3.0473602454179636
N3_0,N3_1,4.612418171866549
N3_0,N4_0,2.6643360947883514
N3_1,N3_2,3.139997068305869
N3_1,N4_1,5.521543388349357
N3_2,N3_3,2.9515916842841086
N3_2,N4_2,3.2839392425040694
N3_3,N3_4,5.2339212354707385
N3_3,N4_3,3.983793858185278
N3_4,N3_5,6.111110219641397
N3_4,N4_4,3.706582586821743
N3_5,N3_6,5.695300833161458
N3_5,N4_5,4.251971987802083
N3_6,N4_6,3.167013298606962
N4_0,N4_1,6.310666052272812
N4_0,N5_0,5.302908239119007
N4_1,N4_2,5.339243160658743
N4_1,N5_1,5.232196297489937
N4_2,N4_3,3.991218407892229
N4_2,N5_2,3.6653614222801365
N4_3,N4_4,3.2463950245110422
N4_3,N5_3,2.841720146927417
N4_4,N4_5,3.623411858493026
N4_4,N5_4,4.938338716649304
N4_5,N4_6,4.280228279579185
N4_5,N5_5,5.3450278104429545
N4_6,N5_6,5.135189125496502
N5_0,N5_1,3.3298916675569825
N5_0,N6_0,6.296189038514473
N5_1,N5_2,4.573493442445243
N5_1,N6_1,5.275218137581836
N5_2,N5_3,4.205987108357751
N5_2,N6_2,3.4193508893818922
N5_3,N5_4,3.6073067780641597
N5_3,N6_3,5.91936078985607
N5_4,N5_5,4.8512280101533936
N5_4,N6_4,3.5376801567076885
N5_5,N5_6,5.48388494054041
N5_5,N6_5,5.247310924527319
N5_6,N6_6,2.51764846781834
N6_0,N6_1,4.594156723109135
N6_1,N6_2,2.6083614294557718
N6_2,N6_3,3.177187662868264
N6_3,N6_4,4.590082118789296
N6_4,N6_5,3.299486911383916
N6_5,N6_6,5.614267991241373
