node,x,y,jobs
N0_0,118.7,31.92,46
N0_1,118.718,31.92,64
N0_2,118.736,31.92,162
N0_3,118.754,31.92,215
N0_4,118.772,31.92,217
N0_5,118.79,31.92,39
N0_6,118.808,31.92,215
N1_0,118.7,31.934,147
N1_1,118.718,31.934,21
N1_2,118.736,31.934,158
N1_3,118.754,31.934,61
N1_4,118.772,31.934,109
N1_5,118.79,31.934,92
N1_6,118.808,31.934,46
N2_0,118.7,31.948,180
N2_1,118.718,31.948,182
N2_2,118.736,31.948,202
N2_3,118.754,31.948,205
N2_4,118.772,31.948,23
N2_5,118.79,31.948,165
N2_6,118.808,31.948,93
N3_0,118.7,31.962000000000003,101
N3_1,118.718,31.962000000000003,208
N3_2,118.736,31.962000000000003,31
N3_3,118.754,31.962000000000003,73
N3_4,118.772,31.962000000000003,57
N3_5,118.79,31.962000000000003,176
N3_6,118.808,31.962000000000003,194
N4_0,118.7,31.976000000000003,152
N4_1,118.718,31.976000000000003,207
N4_2,118.736,31.976000000000003,38
N4_3,118.754,31.976000000000003,208
N4_4,118.772,31.976000000000003,185
N4_5,118.79,31.976000000000003,207
N4_6,118.808,31.976000000000003,55
N5_0,118.7,31.990000000000002,44
N5_1,118.718,31.990000000000002,131
N5_2,118.736,31.990000000000002,24
N5_3,118.754,31.990000000000002,23
N5_4,118.772,31.990000000000002,25
N5_5,118.79,31.990000000000002,155
N5_6,118.808,31.990000000000002,73
N6_0,118.7,32.004000000000005,24
N6_1,118.718,32.004000000000005,167
N6_2,118.736,32.004000000000005,203
N6_3,118.754,32.004000000000005,168
N6_4,118.772,32.004000000000005,160
N6_5,118.79,32.004000000000005,122
N6_6,118.808,32.004000000000005,165
