u,v,minutes
N0_0,N0_1,2.962079531551691
N0_0,N1_0,4.037084985797387
N0_1,N0_2,2.633012371183718
N0_1,N1_1,6.133892534146779
N0_2,N0_3,5.059364641051538
N0_2,N1_2,2.960105747092079
N0_3,N0_4,4.481870802329498
N0_3,N1_3,4.416431856906243
N0_4,N0_5,2.9844916641405494
N0_4,N1_4,5.820004522933931
N0_5,N0_6,4.026174526227555
N0_5,N1_5,4.155764185185125
N0_6,N1_6,5.963003812871991
N1_0,N1_1,3.744122810775847
N1_0,N2_0,6.299319310115235
N1_1,N1_2,4.639673545709899
N1_1,N2_1,4.993945152395374
N1_2,N1_3,6.329249677754971
N1_2,N2_2,4.366204772697998
N1_3,N1_4,4.488589516956917
N1_3,N2_3,2.8761290609689274
N1_4,N1_5,3.937418929209365
N1_4,N2_4,4.301103360591673
N1_5,N1_6,3.1113588991580676
N1_5,N2_5,4.686367800946741
N1_6,N2_6,3.0543594616865803
N2_0,N2_1,6.266410093429594
N2_0,N3_0,2.6523861799723703
N2_1,N2_2,5.6221615950708035
N2_1,N3_1,2.611974920201802
N2_2,N2_3,5.600307026328919
N2_2,N3_2,5.76288437050782
N2_3,N2_4,5.064114113348056
N2_3,N3_3,2.7549763488737824
N2_4,N2_5,5.389847095072038
N2_4,N3_4,4.9266138063184695
N2_5,N2_6,3.3452489600661544
N2_5,N3_5,4.489663686727564
N2_6,N3_6,2.91628604460905
N3_0,N3_1,6.1846735102872525
N3_0,N4_0,5.3115168396945505
N3_1,N3_2,5.349243807522739
N3_1,N4_1,5.509763626095811
N3_2,N3_3,5.031215973817197
N3_2,N4_2,3.1669907062804445
N3_3,N3_4,4.287473816960912
N3_3,N4_3,4.397609323035916
N3_4,N3_5,4.3486927814028515
N3_4,N4_4,4.21388918700819
N3_5,N3_6,4.452320454921615
N3_5,N4_5,6.429569525957104
N3_6,N4_6,3.6674529265690388
N4_0,N4_1,6.135396647580166
N4_0,N5_0,5.081796270842959
N4_1,N4_2,6.321942578070115
N4_1,N5_1,3.0372887453040858
N4_2,N4_3,2.8852735321808622
N4_2,N5_2,2.7283314279392363
N4_3,N4_4,6.490537389236851
N4_3,N5_3,6.069827859721551
N4_4,N4_5,3.712220732290046
N4_4,N5_4,5.3614960835731775
N4_5,N4_6,4.477359774250889
N4_5,N5_5,4.776720076961656
N4_6,N5_6,5.970809586340206
N5_0,N5_1,4.5806999699216595
N5_0,N6_0,4.67632322561988
N5_1,N5_2,6.491090642016984
N5_1,N6_1,3.863231556364982
N5_2,N5_3,5.814655626527916
N5_2,N6_2,3.9849501436344754
N5_3,N5_4,4.164174962174224
N5_3,N6_3,6.323062396976551
N5_4,N5_5,5.4236666013226404
N5_4,N6_4,3.6408513227880057
N5_5,N5_6,2.97838205788957
N5_5,N6_5,5.395675230122756
N5_6,N6_6,3.599320900875286
N6_0,N6_1,3.01312336535693
N6_1,N6_2,2.6938848024469393
N6_2,N6_3,6.149443779268499
N6_3,N6_4,3.6536055629791107
N6_4,N6_5,3.6296350159866466
N6_5,N6_6,6.08145891994533
