node,x,y,jobs
N0_0,118.7,31.92,78
N0_1,118.718,31.92,189
N0_2,118.736,31.92,131
N0_3,118.754,31.92,81
N0_4,118.772,31.92,118
N0_5,118.79,31.92,185
N0_6,118.808,31.92,67
N1_0,118.7,31.934,47
N1_1,118.718,31.934,74
N1_2,118.736,31.934,180
N1_3,118.754,31.934,168
N1_4,118.772,31.934,86
N1_5,118.79,31.934,132
N1_6,118.808,31.934,143
N2_0,118.7,31.948,182
N2_1,118.718,31.948,161
N2_2,118.736,31.948,213
N2_3,118.754,31.948,205
N2_4,118.772,31.948,207
N2_5,118.79,31.948,51
N2_6,118.808,31.948,186
N3_0,118.7,31.962000000000003,179
N3_1,118.718,31.962000000000003,157
N3_2,118.736,31.962000000000003,214
N3_3,118.754,31.962000000000003,51
N3_4,118.772,31.962000000000003,143
N3_5,118.79,31.962000000000003,162
N3_6,118.808,31.962000000000003,131
N4_0,118.7,31.976000000000003,75
N4_1,118.718,31.976000000000003,122
N4_2,118.736,31.976000000000003,208
N4_3,118.754,31.976000000000003,24
N4_4,118.772,31.976000000000003,147
N4_5,118.79,31.976000000000003,134
N4_6,118.808,31.976000000000003,155
N5_0,118.7,31.990000000000002,101
N5_1,118.718,31.990000000000002,48
N5_2,118.736,31.990000000000002,218
N5_3,118.754,31.990000000000002,143
N5_4,118.772,31.990000000000002,123
N5_5,118.79,31.990000000000002,204
N5_6,118.808,31.990000000000002,139
N6_0,118.7,32.004000000000005,102
N6_1,118.718,32.004000000000005,184
N6_2,118.736,32.004000000000005,174
N6_3,118.754,32.004000000000005,29
N6_4,118.772,32.004000000000005,195
N6_5,118.79,32.004000000000005,39
N6_6,118.808,32.004000000000005,75
