time,load_mw,pv_mw,price
2026-07-01 00:00:00,60.601,0.724,0.592
2026-07-01 01:00:00,63.055,0.0,0.622
2026-07-01 02:00:00,61.673,0.342,0.571
2026-07-01 03:00:00,55.776,0.0,0.653
2026-07-01 04:00:00,54.511,0.0,0.62
2026-07-01 05:00:00,48.893,0.0,0.572
2026-07-01 06:00:00,45.734,0.0,0.609
2026-07-01 07:00:00,43.901,7.877,0.459
2026-07-01 08:00:00,45.649,17.385,0.412
2026-07-01 09:00:00,48.338,29.329,0.41
2026-07-01 10:00:00,52.334,33.238,0.4
2026-07-01 11:00:00,58.179,36.729,0.486
2026-07-01 12:00:00,62.525,39.121,0.44
2026-07-01 13:00:00,61.496,36.517,0.426
2026-07-01 14:00:00,61.84,34.343,0.411
2026-07-01 15:00:00,57.86,26.085,0.412
2026-07-01 16:00:00,56.139,19.513,0.459
2026-07-01 17:00:00,51.111,8.824,0.383
2026-07-01 18:00:00,47.47,0.0,0.624
2026-07-01 19:00:00,42.245,0.374,0.651
2026-07-01 20:00:00,45.183,2.593,0.589
2026-07-01 21:00:00,46.766,0.554,0.596
2026-07-01 22:00:00,57.86,0.0,0.56
2026-07-01 23:00:00,60.414,0.785,0.612
2026-07-02 00:00:00,62.201,0.0,0.601
2026-07-02 01:00:00,59.393,1.858,0.612
2026-07-02 02:00:00,64.381,0.0,0.633
2026-07-02 03:00:00,58.811,0.0,0.561
2026-07-02 04:00:00,54.036,1.216,0.61
2026-07-02 05:00:00,50.179,0.885,0.616
2026-07-02 06:00:00,48.414,0.0,0.615
2026-07-02 07:00:00,42.115,10.409,0.391
2026-07-02 08:00:00,44.929,19.741,0.435
2026-07-02 09:00:00,48.416,26.153,0.382
2026-07-02 10:00:00,54.933,31.089,0.422
2026-07-02 11:00:00,60.62,36.699,0.39
2026-07-02 12:00:00,59.289,38.264,0.412
2026-07-02 13:00:00,64.729,36.747,0.435
2026-07-02 14:00:00,59.952,33.084,0.405
2026-07-02 15:00:00,59.474,26.26,0.429
2026-07-02 16:00:00,52.61,20.415,0.393
2026-07-02 17:00:00,50.46,11.765,0.441
2026-07-02 18:00:00,49.166,0.0,0.617
2026-07-02 19:00:00,47.262,1.358,0.612
2026-07-02 20:00:00,48.242,1.911,0.551
2026-07-02 21:00:00,51.963,1.081,0.595
2026-07-02 22:00:00,54.144,0.0,0.526
2026-07-02 23:00:00,58.524,0.743,0.569
